Event,Latitude,Longitude,Country,State,County,Website
Burnie parkrun,-41.049194,145.905,Australia,Tasmania,Burnie,https://www.parkrun.com.au/burnie
Burnley parkrun,53.77834,-2.221555,United Kingdom,England,Lancashire,https://www.parkrun.org.uk/burnley
Burswood Peninsula parkrun,-31.95306,115.887561,Australia,Western Australia,Victoria Park,https://www.parkrun.com.au/burswoodpeninsula
Bury Field parkrun,52.088015,-0.728725,United Kingdom,England,Milton Keynes,https://www.parkrun.org.uk/buryfield
Bury St Edmunds parkrun,52.224887,0.730183,United Kingdom,England,Suffolk,https://www.parkrun.org.uk/burystedmunds
Bushy parkrun,51.410992,-0.335791,United Kingdom,England,Greater London,https://www.parkrun.org.uk/bushy
"Bushy parkrun, Dublin",53.298951,-6.296455,Ireland,Leinster,Dublin,https://www.parkrun.ie/bushydublin
Byxbee parkrun,37.451055,-122.105993,USA,California,Santa Clara,https://www.parkrun.us/byxbee
Cabinteely parkrun,53.26137,-6.158811,Ireland,Leinster,Dublin,https://www.parkrun.ie/cabinteely
Caffarella parkrun,41.866851,12.524093,Italy,Latium,Rome,https://www.parkrun.it/caffarella
